Tree	Validity	Type	Sequence_MA	Sequence_MM	Sequence_AD	Sequence_MU	Shape
ENSGT00760000119204	valid	1	APAMA00000016173	APAMM00000015278	APAAD00000012341	APAMU00000013148	(MA,(MM,(AD,MU)));
ENSGT00760000119204	valid	1	APAMA00000016179	APAMM00000015282	APAAD00000012348	APAMU00000013139	(MA,(MM,(AD,MU)));
ENSGT00760000119204	valid	1	APAMA00000016171	APAMM00000015281	APAAD00000012340	APAMU00000013137	(MA,(MM,(AD,MU)));
ENSGT00760000119204	valid	1	APAMA00000016178	APAMM00000015290	APAAD00000012344	APAMU00000013147	(MA,(MM,(AD,MU)));
ENSGT00760000119204	valid	1	APAMA00000016193	APAMM00000015295	APAAD00000012342	APAMU00000013145	(MA,(MM,(AD,MU)));
ENSGT00760000119204	valid	1	APAMA00000016184	APAMM00000015286	APAAD00000012346	APAMU00000013143	(MA,(MM,(AD,MU)));
ENSGT00390000017606	valid	1	APAMA00000000355	TRAMM00000000171	APAAD00000000274	APAMU00000000276	(MA,(MM,(AD,MU)));
ENSGT00730000111176	valid	1	APAMA00000005300	APAMM00000005183	APAAD00000004154	APAMU00000004393	(MA,(MM,(AD,MU)));
ENSGT00390000007479	valid	1	APAMA00000004597	APAMM00000004484	APAAD00000003643	APAMU00000003809	(MA,(MM,(AD,MU)));
ENSGT00510000049574	valid	1	APAMA00000027837	APAMM00000026355	TRAAD00000012012	APAMU00000022781	(MA,(MM,(AD,MU)));
ENSGT00500000045021	valid	1	APAMA00000058561	APAMM00000056047	APAAD00000045254	APAMU00000048421	(MA,(MM,(AD,MU)));
ENSGT00390000005233	valid	1	APAMA00000026154	APAMM00000024752	APAAD00000019907	APAMU00000021381	(MA,(MM,(AD,MU)));
ENSGT00390000005233	valid	1	APAMA00000026159	APAMM00000024754	APAAD00000019906	APAMU00000021379	(MA,(MM,(AD,MU)));
ENSGT00510000049083	valid	1	APAMA00000029535	APAMM00000027990	APAAD00000022532	APAMU00000024155	(MA,(MM,(AD,MU)));
ENSGT00390000013479	valid	1	APAMA00000032818	APAMM00000031138	APAAD00000025066	APAMU00000026891	(MA,(MM,(AD,MU)));
ENSGT00390000013479	valid	1	APAMA00000032812	APAMM00000031132	APAAD00000025068	APAMU00000026888	(MA,(MM,(AD,MU)));
ENSGT00390000013479	valid	1	APAMA00000032821	APAMM00000031122	TRAAD00000014294	APAMU00000026896	(MA,(MM,(AD,MU)));
ENSGT00390000013479	valid	1	APAMA00000032827	TRAMM00000016258	APAAD00000025071	APAMU00000026901	(MA,(MM,(AD,MU)));
ENSGT00390000000999	valid	1	APAMA00000055696	APAMM00000053259	APAAD00000042982	APAMU00000046006	(MA,(MM,(AD,MU)));
ENSGT00390000018173	valid	1	TRAMA00000032858	TRAMM00000031592	APAAD00000049008	TRAMU00000030510	(MA,(MM,(AD,MU)));
ENSGT00390000014721	valid	-1	TRAMA00000003476	APAMM00000006658	APAAD00000005316	TRAMU00000003438	(AD,(MA,(MM,MU)));
ENSGT00390000014722	valid	1	APAMA00000044614	APAMM00000042529	APAAD00000034237	APAMU00000036667	(MA,(MM,(AD,MU)));
ENSGT00390000016927	valid	-1	APAMA00000062102	APAMM00000059466	APAAD00000048144	APAMU00000051439	(MA,(MU,(AD,MM)));
ENSGT00690000102225	valid	1	APAMA00000028227	APAMM00000026717	APAAD00000021473	APAMU00000023089	(MA,(MM,(AD,MU)));
ENSGT00510000048773	valid	1	APAMA00000052886	APAMM00000050572	APAAD00000040735	APAMU00000043595	(MA,(MM,(AD,MU)));
ENSGT00530000063235	valid	1	APAMA00000010398	APAMM00000009937	APAAD00000008039	APAMU00000008666	(MA,(MM,(AD,MU)));
ENSGT00530000063235	valid	1	APAMA00000010391	APAMM00000009931	APAAD00000008042	TRAMU00000005103	(MA,(MM,(AD,MU)));
ENSGT00530000063235	valid	1	APAMA00000010390	TRAMM00000005151	TRAAD00000004493	APAMU00000008659	(MA,(MM,(AD,MU)));
ENSGT00390000011831	valid	1	APAMA00000005353	APAMM00000005216	APAAD00000004181	APAMU00000004435	(MA,(MM,(AD,MU)));
ENSGT00390000011831	valid	1	APAMA00000005352	APAMM00000005217	APAAD00000004182	TRAMU00000002634	(MA,(MM,(AD,MU)));
ENSGT00390000004856	valid	1	APAMA00000034389	TRAMM00000017059	APAAD00000026299	APAMU00000028112	(MA,(MM,(AD,MU)));
ENSGT00390000004208	valid	1	APAMA00000019011	APAMM00000018027	APAAD00000014575	APAMU00000015589	(MA,(MM,(AD,MU)));
ENSGT00390000003299	valid	1	APAMA00000062505	APAMM00000059890	APAAD00000048484	APAMU00000051793	(MA,(MM,(AD,MU)));
ENSGT00390000009391	valid	1	APAMA00000058628	APAMM00000056117	APAAD00000045305	APAMU00000048475	(MA,(MM,(AD,MU)));
ENSGT00390000009391	valid	1	APAMA00000058624	APAMM00000056115	TRAAD00000025696	APAMU00000048491	(MA,(MM,(AD,MU)));
ENSGT00390000010440	valid	1	APAMA00000001752	APAMM00000001742	APAAD00000001399	APAMU00000001447	(MA,(MM,(AD,MU)));
ENSGT00730000111019	valid	1	APAMA00000042854	TRAMM00000026229	APAAD00000032862	TRAMU00000025242	(MA,(MM,(AD,MU)));
ENSGT00390000007453	valid	1	APAMA00000022149	APAMM00000021013	APAAD00000016910	APAMU00000018177	(MA,(MM,(AD,MU)));
ENSGT00530000063095	valid	1	APAMA00000047729	APAMM00000045547	APAAD00000036674	APAMU00000039339	(MA,(MM,(AD,MU)));
ENSGT00530000063095	valid	1	APAMA00000047727	APAMM00000045546	APAAD00000036675	APAMU00000039337	(MA,(MM,(AD,MU)));
ENSGT00530000063095	valid	-1	APAMA00000047723	APAMM00000045551	TRAAD00000020919	APAMU00000039331	((AD,MA),(MM,MU));
ENSGT00530000063354	valid	1	APAMA00000026503	APAMM00000025018	APAAD00000020129	APAMU00000021630	(MA,(MM,(AD,MU)));
ENSGT00530000063354	valid	1	APAMA00000026499	APAMM00000025017	APAAD00000020127	APAMU00000021631	(MA,(MM,(AD,MU)));
ENSGT00530000063196	valid	1	APAMA00000042072	APAMM00000039949	APAAD00000032234	APAMU00000034519	(MA,(MM,(AD,MU)));
ENSGT00530000063196	valid	1	APAMA00000042066	APAMM00000039946	APAAD00000032238	APAMU00000034508	(MA,(MM,(AD,MU)));
ENSGT00530000063196	valid	1	APAMA00000042078	APAMM00000039957	TRAAD00000018273	APAMU00000034516	(MA,(MM,(AD,MU)));
ENSGT00390000001021	valid	1	APAMA00000010671	TRAMM00000023226	TRAAD00000004627	APAMU00000008876	(MA,(MM,(AD,MU)));
ENSGT00390000001979	valid	1	APAMA00000008079	TRAMM00000004037	APAAD00000006261	APAMU00000006746	(MA,(MM,(AD,MU)));
ENSGT00390000015050	valid	1	APAMA00000016995	APAMM00000016070	APAAD00000012951	APAMU00000013795	(MA,(MM,(AD,MU)));
ENSGT00390000004360	valid	1	APAMA00000005392	APAMM00000005251	APAAD00000004218	APAMU00000004479	(MA,(MM,(AD,MU)));
ENSGT00390000004360	valid	1	APAMA00000005393	APAMM00000005249	APAAD00000004219	APAMU00000004482	(MA,(MM,(AD,MU)));
ENSGT00390000001568	valid	1	APAMA00000009893	APAMM00000009471	APAAD00000007623	APAMU00000008284	(MA,(MM,(AD,MU)));
ENSGT00440000039314	valid	1	TRAMA00000022880	TRAMM00000022080	APAAD00000033772	APAMU00000036145	(MA,(MM,(AD,MU)));
ENSGT00730000111085	valid	1	APAMA00000027691	APAMM00000026213	APAAD00000021079	APAMU00000022666	(MA,(MM,(AD,MU)));
ENSGT00390000018026	valid	1	APAMA00000016039	TRAMM00000012622	APAAD00000012228	APAMU00000013026	(MA,(MM,(AD,MU)));
ENSGT00390000002096	valid	1	APAMA00000017445	APAMM00000016483	APAAD00000013282	APAMU00000014161	(MA,(MM,(AD,MU)));
ENSGT00390000016464	valid	1	APAMA00000022939	APAMM00000021834	APAAD00000017487	APAMU00000018818	(MA,(MM,(AD,MU)));
ENSGT00390000012080	valid	1	APAMA00000016640	APAMM00000015760	APAAD00000012687	APAMU00000013502	(MA,(MM,(AD,MU)));
ENSGT00530000063588	valid	1	TRAMA00000027795	TRAMM00000026751	APAAD00000041183	APAMU00000044112	(MA,(MM,(AD,MU)));
ENSGT00530000063588	valid	1	APAMA00000053473	APAMM00000051132	APAAD00000041186	TRAMU00000025737	(MA,(MM,(AD,MU)));
ENSGT00530000063588	valid	1	APAMA00000053475	APAMM00000051135	APAAD00000041185	APAMU00000044110	(MA,(MM,(AD,MU)));
ENSGT00890000139482	valid	1	APAMA00000042780	APAMM00000040613	APAAD00000032802	APAMU00000035091	(MA,(MM,(AD,MU)));
ENSGT00730000110905	valid	1	APAMA00000003803	APAMM00000003717	APAAD00000003052	APAMU00000003113	(MA,(MM,(AD,MU)));
ENSGT00730000110905	valid	1	APAMA00000003797	TRAMM00000028743	APAAD00000003057	APAMU00000003115	(MA,(MM,(AD,MU)));
ENSGT00390000016682	valid	1	APAMA00000065141	APAMM00000062364	APAAD00000050339	APAMU00000053914	(MA,(MM,(AD,MU)));
ENSGT00390000008828	valid	1	APAMA00000021272	APAMM00000020183	APAAD00000016178	APAMU00000017442	(MA,(MM,(AD,MU)));
ENSGT00390000002564	valid	1	APAMA00000025022	APAMM00000023771	APAAD00000019120	APAMU00000020454	(MA,(MM,(AD,MU)));
ENSGT00390000002564	valid	1	APAMA00000025021	APAMM00000023772	APAAD00000019121	APAMU00000020455	(MA,(MM,(AD,MU)));
ENSGT00390000011072	valid	1	APAMA00000059270	APAMM00000056778	APAAD00000045863	TRAMU00000028563	(MA,(MM,(AD,MU)));
ENSGT00550000074893	valid	1	APAMA00000038479	APAMM00000036474	APAAD00000029456	APAMU00000031543	(MA,(MM,(AD,MU)));
ENSGT00390000004263	valid	1	APAMA00000016978	APAMM00000016052	APAAD00000012942	APAMU00000013781	(MA,(MM,(AD,MU)));
ENSGT00390000004263	valid	1	APAMA00000016980	APAMM00000016061	APAAD00000012946	APAMU00000013785	(MA,(MM,(AD,MU)));
ENSGT00390000015972	valid	1	TRAMA00000014966	APAMM00000027738	APAAD00000022336	APAMU00000023952	(MA,(MM,(AD,MU)));
ENSGT00390000000987	valid	1	APAMA00000030232	APAMM00000028683	APAAD00000023058	APAMU00000024738	(MA,(MM,(AD,MU)));
ENSGT00890000139405	valid	1	APAMA00000053356	APAMM00000051010	APAAD00000041106	APAMU00000044009	(MA,(MM,(AD,MU)));
ENSGT00890000139405	valid	1	APAMA00000053347	APAMM00000051011	APAAD00000041096	APAMU00000044011	(MA,(MM,(AD,MU)));
ENSGT00890000139405	valid	1	APAMA00000053354	APAMM00000051015	TRAAD00000023328	APAMU00000044015	(MA,(MM,(AD,MU)));
ENSGT00440000034488	valid	1	APAMA00000039188	APAMM00000037203	APAAD00000029985	APAMU00000032195	(MA,(MM,(AD,MU)));
ENSGT00510000046985	valid	1	APAMA00000026303	APAMM00000024854	TRAAD00000011323	APAMU00000021478	(MA,(MM,(AD,MU)));
ENSGT00390000004368	valid	1	APAMA00000005397	APAMM00000005254	APAAD00000004221	APAMU00000004483	(MA,(MM,(AD,MU)));
ENSGT00390000002457	valid	1	APAMA00000064930	APAMM00000062137	APAAD00000050168	APAMU00000053737	(MA,(MM,(AD,MU)));
ENSGT00390000015611	valid	1	APAMA00000032767	APAMM00000031072	APAAD00000025018	APAMU00000026853	(MA,(MM,(AD,MU)));
ENSGT00390000016565	valid	1	APAMA00000032412	APAMM00000030717	APAAD00000024735	APAMU00000026519	(MA,(MM,(AD,MU)));
ENSGT00550000074542	valid	1	APAMA00000059081	APAMM00000056603	TRAAD00000025956	APAMU00000048924	(MA,(MM,(AD,MU)));
ENSGT00550000074542	valid	1	APAMA00000059090	APAMM00000056593	APAAD00000045730	APAMU00000048934	(MA,(MM,(AD,MU)));
ENSGT00550000074542	valid	1	APAMA00000059053	APAMM00000056577	APAAD00000045709	APAMU00000048908	(MA,(MM,(AD,MU)));
ENSGT00550000074542	valid	1	APAMA00000059075	APAMM00000056582	TRAAD00000025951	TRAMU00000028479	(MA,(MM,(AD,MU)));
ENSGT00550000074542	valid	1	TRAMA00000030773	TRAMM00000029488	TRAAD00000025950	APAMU00000048911	(MA,(MM,(AD,MU)));
ENSGT00390000007041	valid	1	APAMA00000038216	APAMM00000036198	APAAD00000029237	APAMU00000031323	(MA,(MM,(AD,MU)));
ENSGT00390000003896	valid	1	APAMA00000031415	APAMM00000029766	APAAD00000023917	TRAMU00000014990	(MA,(MM,(AD,MU)));
ENSGT00390000014994	valid	1	TRAMA00000030856	TRAMM00000029585	TRAAD00000026014	APAMU00000049035	(MA,(MM,(AD,MU)));
ENSGT00390000017848	valid	1	TRAMA00000002830	TRAMM00000022848	TRAAD00000002476	TRAMU00000002783	(MA,(MM,(AD,MU)));
ENSGT00390000009061	valid	1	APAMA00000031627	APAMM00000029988	APAAD00000024103	APAMU00000025903	(MA,(MM,(AD,MU)));
ENSGT00510000046745	valid	1	APAMA00000044240	APAMM00000042165	APAAD00000033933	APAMU00000036309	(MA,(MM,(AD,MU)));
ENSGT00510000046745	valid	-1	APAMA00000044242	TRAMM00000022204	TRAAD00000028999	TRAMU00000021195	(MA,(AD,(MM,MU)));
ENSGT00390000010986	valid	1	APAMA00000056740	APAMM00000054274	APAAD00000043837	APAMU00000046904	(MA,(MM,(AD,MU)));
ENSGT00390000010986	valid	-1	APAMA00000056736	APAMM00000054286	APAAD00000043841	TRAMU00000027377	(MA,(MU,(AD,MM)));
ENSGT00390000010986	valid	1	APAMA00000056741	APAMM00000054277	APAAD00000043839	APAMU00000046906	(MA,(MM,(AD,MU)));
ENSGT00390000001702	valid	1	TRAMA00000004955	APAMM00000009375	APAAD00000007538	APAMU00000008190	(MA,(MM,(AD,MU)));
ENSGT00390000018759	valid	1	APAMA00000062058	APAMM00000059427	APAAD00000048115	APAMU00000051402	(MA,(MM,(AD,MU)));
ENSGT00790000123003	valid	1	APAMA00000044670	APAMM00000042595	APAAD00000034283	APAMU00000036715	(MA,(MM,(AD,MU)));
ENSGT00790000123003	valid	1	APAMA00000044678	APAMM00000042598	APAAD00000034292	APAMU00000036725	(MA,(MM,(AD,MU)));
ENSGT00790000123003	valid	1	APAMA00000044668	APAMM00000042591	APAAD00000034287	APAMU00000036718	(MA,(MM,(AD,MU)));
ENSGT00790000123003	valid	1	APAMA00000044672	APAMM00000042593	APAAD00000034288	APAMU00000036719	(MA,(MM,(AD,MU)));
ENSGT00790000123003	valid	1	APAMA00000044673	APAMM00000042592	APAAD00000034286	APAMU00000036721	(MA,(MM,(AD,MU)));
ENSGT00390000007526	valid	1	APAMA00000062065	APAMM00000059432	APAAD00000048119	APAMU00000051409	(MA,(MM,(AD,MU)));
ENSGT00390000002789	valid	-1	APAMA00000067097	APAMM00000064263	APAAD00000051823	APAMU00000055530	(MA,(MU,(AD,MM)));
ENSGT00440000033919	valid	1	APAMA00000036700	APAMM00000034805	APAAD00000028053	TRAMU00000017560	(MA,(MM,(AD,MU)));
ENSGT00510000048685	valid	1	APAMA00000029458	APAMM00000027912	APAAD00000022467	APAMU00000024099	(MA,(MM,(AD,MU)));
ENSGT00390000006030	valid	1	APAMA00000046783	APAMM00000044537	APAAD00000035860	APAMU00000038506	(MA,(MM,(AD,MU)));
ENSGT00390000006030	valid	1	TRAMA00000024372	TRAMM00000023483	APAAD00000035863	APAMU00000038509	(MA,(MM,(AD,MU)));
ENSGT00840000129867	valid	1	TRAMA00000004988	APAMM00000009412	APAAD00000007569	APAMU00000008223	(MA,(MM,(AD,MU)));
ENSGT00840000129867	valid	1	APAMA00000009840	APAMM00000009414	TRAAD00000004232	APAMU00000008224	(MA,(MM,(AD,MU)));
ENSGT00390000018554	valid	1	APAMA00000050932	APAMM00000048700	APAAD00000039200	APAMU00000041967	(MA,(MM,(AD,MU)));
ENSGT00390000005492	valid	1	APAMA00000000812	APAMM00000000816	APAAD00000000629	APAMU00000000680	(MA,(MM,(AD,MU)));
ENSGT00710000106806	valid	1	APAMA00000063147	APAMM00000060481	APAAD00000048970	APAMU00000052312	(MA,(MM,(AD,MU)));
ENSGT00830000128340	valid	1	APAMA00000028711	APAMM00000027250	APAAD00000021905	APAMU00000023470	(MA,(MM,(AD,MU)));
ENSGT00830000128340	valid	1	APAMA00000028708	APAMM00000027254	TRAAD00000012436	APAMU00000023472	(MA,(MM,(AD,MU)));
ENSGT00390000015355	valid	1	APAMA00000010272	TRAMM00000005102	APAAD00000007956	APAMU00000008567	(MA,(MM,(AD,MU)));
ENSGT00890000139510	valid	1	TRAMA00000002555	APAMM00000004837	APAAD00000003917	TRAMU00000002427	(MA,(MM,(AD,MU)));
ENSGT00390000013008	valid	1	APAMA00000013390	TRAMM00000006547	APAAD00000010241	APAMU00000010972	(MA,(MM,(AD,MU)));
ENSGT00390000000698	valid	1	APAMA00000066535	TRAMM00000033178	APAAD00000051406	APAMU00000055061	(MA,(MM,(AD,MU)));
ENSGT00390000008161	valid	-1	APAMA00000028229	APAMM00000026722	APAAD00000021477	APAMU00000023095	(MA,(AD,(MM,MU)));
ENSGT00390000008161	valid	1	APAMA00000028231	APAMM00000026725	TRAAD00000012179	APAMU00000023091	(MA,(MM,(AD,MU)));
ENSGT00390000003682	valid	1	APAMA00000051474	APAMM00000049173	APAAD00000039606	APAMU00000042444	(MA,(MM,(AD,MU)));
ENSGT00390000017353	valid	1	APAMA00000019408	APAMM00000018405	APAAD00000014881	APAMU00000015977	(MA,(MM,(AD,MU)));
ENSGT00760000119124	valid	1	APAMA00000028978	APAMM00000027484	APAAD00000022097	APAMU00000023704	(MA,(MM,(AD,MU)));
ENSGT00760000119124	valid	1	APAMA00000028979	APAMM00000027490	APAAD00000022098	APAMU00000023718	(MA,(MM,(AD,MU)));
ENSGT00760000119124	valid	1	APAMA00000028995	APAMM00000027488	APAAD00000022100	APAMU00000023699	(MA,(MM,(AD,MU)));
ENSGT00760000119124	valid	1	APAMA00000028981	APAMM00000027485	APAAD00000022124	APAMU00000023702	(MA,(MM,(AD,MU)));
ENSGT00760000119124	valid	1	APAMA00000028990	APAMM00000027497	APAAD00000022109	APAMU00000023712	(MA,(MM,(AD,MU)));
ENSGT00760000119124	valid	1	APAMA00000028986	APAMM00000027487	TRAAD00000012557	APAMU00000023703	(MA,(MM,(AD,MU)));
ENSGT00760000119124	valid	1	TRAMA00000014843	APAMM00000027503	APAAD00000022119	APAMU00000023715	(MA,(MM,(AD,MU)));
ENSGT00390000007578	valid	-1	APAMA00000031382	APAMM00000029732	APAAD00000023892	APAMU00000025702	(MA,(AD,(MM,MU)));
ENSGT00390000007578	valid	1	APAMA00000031364	APAMM00000029747	TRAAD00000013570	APAMU00000025692	(MA,(MM,(AD,MU)));
ENSGT00390000007578	valid	1	APAMA00000031356	APAMM00000029730	TRAAD00000013572	APAMU00000025698	(MA,(MM,(AD,MU)));
ENSGT00390000007578	valid	1	APAMA00000031359	APAMM00000029742	TRAAD00000013573	APAMU00000025686	(MA,(MM,(AD,MU)));
ENSGT00390000001304	valid	1	APAMA00000033054	APAMM00000031420	APAAD00000025290	TRAMU00000015860	(MA,(MM,(AD,MU)));
ENSGT00390000012979	valid	1	APAMA00000052409	APAMM00000050116	APAAD00000040385	APAMU00000043231	(MA,(MM,(AD,MU)));
ENSGT00390000010195	valid	1	APAMA00000059810	APAMM00000057274	APAAD00000046315	APAMU00000049550	(MA,(MM,(AD,MU)));
ENSGT00530000062904	valid	1	APAMA00000042539	APAMM00000040382	APAAD00000032639	APAMU00000034887	(MA,(MM,(AD,MU)));
ENSGT00530000062904	valid	1	APAMA00000042547	TRAMM00000021244	APAAD00000032645	APAMU00000034902	(MA,(MM,(AD,MU)));
ENSGT00530000062904	valid	1	APAMA00000042527	APAMM00000040404	APAAD00000032649	APAMU00000034896	(MA,(MM,(AD,MU)));
ENSGT00530000062904	valid	1	APAMA00000042525	APAMM00000040390	APAAD00000032643	APAMU00000034882	(MA,(MM,(AD,MU)));
ENSGT00390000011700	valid	1	APAMA00000034053	APAMM00000032310	APAAD00000026050	APAMU00000027875	(MA,(MM,(AD,MU)));
ENSGT00550000074844	valid	1	APAMA00000008560	APAMM00000008243	APAAD00000006609	APAMU00000007115	(MA,(MM,(AD,MU)));
ENSGT00390000016988	valid	1	APAMA00000049431	APAMM00000047183	APAAD00000037983	APAMU00000040724	(MA,(MM,(AD,MU)));
ENSGT00390000000020	valid	1	APAMA00000034100	APAMM00000032346	APAAD00000026105	APAMU00000027922	(MA,(MM,(AD,MU)));
ENSGT00390000000020	valid	1	APAMA00000034102	TRAMM00000016922	APAAD00000026107	APAMU00000027927	(MA,(MM,(AD,MU)));
ENSGT00390000009270	valid	1	APAMA00000051022	APAMM00000048808	APAAD00000039278	APAMU00000042043	(MA,(MM,(AD,MU)));
ENSGT00530000062926	valid	1	APAMA00000045278	TRAMM00000022776	APAAD00000034753	APAMU00000037288	(MA,(MM,(AD,MU)));
ENSGT00530000062926	valid	1	APAMA00000045280	APAMM00000043170	APAAD00000034762	APAMU00000037292	(MA,(MM,(AD,MU)));
ENSGT00530000062926	valid	1	APAMA00000045286	APAMM00000043174	APAAD00000034757	APAMU00000037294	(MA,(MM,(AD,MU)));
ENSGT00530000062926	valid	1	APAMA00000045285	APAMM00000043178	APAAD00000034759	APAMU00000037286	(MA,(MM,(AD,MU)));
ENSGT00390000018121	valid	1	APAMA00000023421	APAMM00000022285	APAAD00000017860	APAMU00000019182	(MA,(MM,(AD,MU)));
ENSGT00550000074950	valid	1	APAMA00000057595	APAMM00000055054	APAAD00000044511	APAMU00000047610	(MA,(MM,(AD,MU)));
ENSGT00530000063389	valid	1	APAMA00000065220	APAMM00000062427	APAAD00000050393	APAMU00000053964	(MA,(MM,(AD,MU)));
ENSGT00530000063389	valid	1	TRAMA00000033793	APAMM00000062428	TRAAD00000028389	APAMU00000053967	(MA,(MM,(AD,MU)));
ENSGT00390000003213	valid	1	APAMA00000029215	APAMM00000027688	APAAD00000022263	APAMU00000023869	(MA,(MM,(AD,MU)));
ENSGT00390000003821	valid	1	APAMA00000058147	APAMM00000055617	TRAAD00000025443	APAMU00000048100	(MA,(MM,(AD,MU)));
ENSGT00730000110829	valid	1	APAMA00000002520	APAMM00000002475	APAAD00000002009	TRAMU00000001167	(MA,(MM,(AD,MU)));
ENSGT00730000110829	valid	1	TRAMA00000001264	APAMM00000002468	TRAAD00000001160	APAMU00000002029	(MA,(MM,(AD,MU)));
ENSGT00780000121909	valid	1	TRAMA00000013339	TRAMM00000012839	APAAD00000019973	APAMU00000021454	(MA,(MM,(AD,MU)));
ENSGT00780000121909	valid	1	APAMA00000026269	APAMM00000024843	APAAD00000019982	APAMU00000021452	(MA,(MM,(AD,MU)));
ENSGT00780000121909	valid	1	APAMA00000026261	APAMM00000024826	APAAD00000019998	APAMU00000021447	(MA,(MM,(AD,MU)));
ENSGT00780000121909	valid	1	APAMA00000026276	APAMM00000024833	APAAD00000019983	APAMU00000021468	(MA,(MM,(AD,MU)));
ENSGT00390000006320	valid	1	APAMA00000005738	APAMM00000005569	APAAD00000004477	APAMU00000004764	(MA,(MM,(AD,MU)));
ENSGT00530000062984	valid	1	APAMA00000053045	APAMM00000050722	TRAAD00000023191	APAMU00000043766	(MA,(MM,(AD,MU)));
ENSGT00530000062984	valid	1	APAMA00000053051	TRAMM00000026540	TRAAD00000023194	APAMU00000043768	(MA,(MM,(AD,MU)));
ENSGT00530000062984	valid	1	TRAMA00000027551	APAMM00000050727	APAAD00000040849	APAMU00000043755	(MA,(MM,(AD,MU)));
ENSGT00530000062984	valid	1	APAMA00000053040	TRAMM00000026543	APAAD00000040854	APAMU00000043752	(MA,(MM,(AD,MU)));
ENSGT00390000002210	valid	1	APAMA00000014816	APAMM00000014003	APAAD00000011338	APAMU00000012077	(MA,(MM,(AD,MU)));
ENSGT00550000076432	valid	1	APAMA00000006876	APAMM00000006721	APAAD00000005374	APAMU00000005746	(MA,(MM,(AD,MU)));
ENSGT00390000016694	valid	1	APAMA00000032504	APAMM00000030813	APAAD00000024809	APAMU00000026608	(MA,(MM,(AD,MU)));
ENSGT00390000011417	valid	1	APAMA00000045546	APAMM00000043412	APAAD00000034957	APAMU00000037520	(MA,(MM,(AD,MU)));
ENSGT00530000062928	valid	1	APAMA00000045306	APAMM00000043186	APAAD00000034766	APAMU00000037300	(MA,(MM,(AD,MU)));
ENSGT00530000062928	valid	1	APAMA00000045300	APAMM00000043189	APAAD00000034768	APAMU00000037302	(MA,(MM,(AD,MU)));
ENSGT00530000062928	valid	1	APAMA00000045297	APAMM00000043188	APAAD00000034767	APAMU00000037305	(MA,(MM,(AD,MU)));
ENSGT00390000018687	valid	1	APAMA00000028198	APAMM00000026683	APAAD00000021449	APAMU00000023060	(MA,(MM,(AD,MU)));
ENSGT00390000017282	valid	1	APAMA00000053288	APAMM00000050953	APAAD00000041051	APAMU00000043954	(MA,(MM,(AD,MU)));
ENSGT00390000010950	valid	1	APAMA00000017206	APAMM00000016258	APAAD00000013096	TRAMU00000008067	(MA,(MM,(AD,MU)));
ENSGT00390000013770	valid	1	APAMA00000024006	APAMM00000022855	APAAD00000018354	APAMU00000019665	(MA,(MM,(AD,MU)));
ENSGT00390000011294	valid	1	APAMA00000048244	APAMM00000045985	APAAD00000037042	APAMU00000039732	(MA,(MM,(AD,MU)));
ENSGT00410000025695	valid	1	APAMA00000018116	TRAMM00000008884	APAAD00000013827	APAMU00000014762	(MA,(MM,(AD,MU)));
ENSGT00410000025695	valid	1	APAMA00000018123	APAMM00000017118	TRAAD00000007701	TRAMU00000008472	(MA,(MM,(AD,MU)));
ENSGT00530000063370	valid	1	APAMA00000024719	APAMM00000023494	APAAD00000018910	APAMU00000020234	(MA,(MM,(AD,MU)));
ENSGT00390000012738	valid	1	APAMA00000016632	TRAMM00000013683	APAAD00000012683	APAMU00000013501	(MA,(MM,(AD,MU)));
ENSGT00390000011500	valid	1	APAMA00000065298	APAMM00000062507	APAAD00000050456	APAMU00000054045	(MA,(MM,(AD,MU)));
ENSGT00390000003568	valid	1	APAMA00000038213	APAMM00000036191	APAAD00000029235	APAMU00000031319	(MA,(MM,(AD,MU)));
ENSGT00390000002762	valid	1	APAMA00000055991	APAMM00000053544	APAAD00000043208	APAMU00000046239	(MA,(MM,(AD,MU)));
ENSGT00390000002762	valid	1	TRAMA00000032500	APAMM00000053547	APAAD00000043214	APAMU00000046234	(MA,(MM,(AD,MU)));
ENSGT00530000063106	valid	1	APAMA00000019862	APAMM00000018836	TRAAD00000008558	APAMU00000016330	(MA,(MM,(AD,MU)));
ENSGT00530000063106	valid	1	APAMA00000019859	APAMM00000018817	APAAD00000015211	APAMU00000016322	(MA,(MM,(AD,MU)));
ENSGT00530000063106	valid	1	APAMA00000019869	TRAMM00000009741	APAAD00000015212	APAMU00000016328	(MA,(MM,(AD,MU)));
ENSGT00390000011821	valid	1	TRAMA00000020570	APAMM00000037588	APAAD00000030280	APAMU00000032499	(MA,(MM,(AD,MU)));
ENSGT00390000011821	valid	1	APAMA00000039619	APAMM00000037596	APAAD00000030283	APAMU00000032503	(MA,(MM,(AD,MU)));
ENSGT00390000013951	valid	1	APAMA00000056771	APAMM00000054308	APAAD00000043872	APAMU00000046934	(MA,(MM,(AD,MU)));
ENSGT00390000006227	valid	1	APAMA00000017371	APAMM00000016416	TRAAD00000007350	TRAMU00000008133	(MA,(MM,(AD,MU)));
ENSGT00510000049483	valid	1	APAMA00000054037	APAMM00000051683	APAAD00000041629	APAMU00000044603	(MA,(MM,(AD,MU)));
ENSGT00390000006178	valid	1	APAMA00000033553	APAMM00000031862	APAAD00000025654	APAMU00000027486	(MA,(MM,(AD,MU)));
